location,date,total_cases_per_million,total_deaths_per_million
Afghanistan,31-12-2019,,
Afghanistan,01-01-2020,,
Afghanistan,02-01-2020,,
Afghanistan,03-01-2020,,
Afghanistan,04-01-2020,,
Afghanistan,05-01-2020,,
Afghanistan,06-01-2020,,
Afghanistan,07-01-2020,,
Afghanistan,08-01-2020,,
Afghanistan,09-01-2020,,
Afghanistan,10-01-2020,,
Afghanistan,11-01-2020,,
Afghanistan,12-01-2020,,
Afghanistan,13-01-2020,,
Afghanistan,14-01-2020,,
Afghanistan,15-01-2020,,
Afghanistan,16-01-2020,,
Afghanistan,17-01-2020,,
Afghanistan,18-01-2020,,
Afghanistan,19-01-2020,,
Afghanistan,20-01-2020,,
Afghanistan,21-01-2020,,
Afghanistan,22-01-2020,,
Afghanistan,23-01-2020,,
Afghanistan,24-01-2020,,
Afghanistan,25-01-2020,,
Afghanistan,26-01-2020,,
Afghanistan,27-01-2020,,
Afghanistan,28-01-2020,,
Afghanistan,29-01-2020,,
Afghanistan,30-01-2020,,
Afghanistan,31-01-2020,,
Afghanistan,01-02-2020,,
Afghanistan,02-02-2020,,
Afghanistan,03-02-2020,,
Afghanistan,04-02-2020,,
Afghanistan,05-02-2020,,
Afghanistan,06-02-2020,,
Afghanistan,07-02-2020,,
Afghanistan,08-02-2020,,
Afghanistan,09-02-2020,,
Afghanistan,10-02-2020,,
Afghanistan,11-02-2020,,
Afghanistan,12-02-2020,,
Afghanistan,13-02-2020,,
Afghanistan,14-02-2020,,
Afghanistan,15-02-2020,,
Afghanistan,16-02-2020,,
Afghanistan,17-02-2020,,
Afghanistan,18-02-2020,,
Afghanistan,19-02-2020,,
Afghanistan,20-02-2020,,
Afghanistan,21-02-2020,,
Afghanistan,22-02-2020,,
Afghanistan,23-02-2020,,
Afghanistan,24-02-2020,,
Afghanistan,25-02-2020,0.026,
Afghanistan,26-02-2020,0.026,
Afghanistan,27-02-2020,0.026,
Afghanistan,28-02-2020,0.026,
Afghanistan,29-02-2020,0.026,
Afghanistan,01-03-2020,0.026,
Afghanistan,02-03-2020,0.026,
Afghanistan,03-03-2020,,
Afghanistan,04-03-2020,,
Afghanistan,05-03-2020,,
Afghanistan,06-03-2020,,
Afghanistan,07-03-2020,,
Afghanistan,08-03-2020,0.103,
Afghanistan,09-03-2020,,
Afghanistan,10-03-2020,,
Afghanistan,11-03-2020,0.18,
Afghanistan,12-03-2020,,
Afghanistan,13-03-2020,,
Afghanistan,14-03-2020,,
Afghanistan,15-03-2020,0.257,
Afghanistan,16-03-2020,0.411,
Afghanistan,17-03-2020,0.539,
Afghanistan,18-03-2020,0.565,
Afghanistan,19-03-2020,0.565,
Afghanistan,20-03-2020,0.565,
Afghanistan,21-03-2020,0.617,
Afghanistan,22-03-2020,0.617,
Afghanistan,23-03-2020,0.873,
Afghanistan,24-03-2020,1.028,0.026
Afghanistan,25-03-2020,1.079,0.026
Afghanistan,26-03-2020,1.927,0.026
Afghanistan,27-03-2020,1.927,0.026
Afghanistan,28-03-2020,2.338,0.051
Afghanistan,29-03-2020,2.723,0.077
Afghanistan,30-03-2020,2.928,0.103
Afghanistan,31-03-2020,3.622,0.103
Afghanistan,01-04-2020,4.264,0.103
Afghanistan,02-04-2020,4.932,0.103
Afghanistan,03-04-2020,6.037,0.103
Afghanistan,04-04-2020,6.037,0.103
Afghanistan,05-04-2020,6.936,0.128
Afghanistan,06-04-2020,7.681,0.18
Afghanistan,07-04-2020,8.657,0.18
Afghanistan,08-04-2020,9.428,0.283
Afghanistan,09-04-2020,10.866,0.36
Afghanistan,10-04-2020,12.433,0.385
Afghanistan,11-04-2020,13.384,0.385
Afghanistan,12-04-2020,14.257,0.462
Afghanistan,13-04-2020,15.593,0.462
Afghanistan,14-04-2020,17.083,0.539
Afghanistan,15-04-2020,18.341,0.591
Afghanistan,16-04-2020,20.14,0.642
Afghanistan,17-04-2020,20.396,0.745
Afghanistan,18-04-2020,21.707,0.771
Afghanistan,19-04-2020,23.325,0.771
Afghanistan,20-04-2020,25.585,0.848
Afghanistan,21-04-2020,26.485,0.899
Afghanistan,22-04-2020,28.052,0.925
Afghanistan,23-04-2020,30.209,1.028
Afghanistan,24-04-2020,32.907,1.079
Afghanistan,25-04-2020,34.705,1.105
Afghanistan,26-04-2020,37.582,1.207
Afghanistan,27-04-2020,39.329,1.464
Afghanistan,28-04-2020,43.747,1.464
Afghanistan,29-04-2020,46.932,1.541
Afghanistan,30-04-2020,50.066,1.541
Afghanistan,01-05-2020,55.769,1.644
Afghanistan,02-05-2020,59.982,1.747
Afghanistan,03-05-2020,63.424,1.85
Afghanistan,04-05-2020,69.461,2.183
Afghanistan,05-05-2020,74.342,2.312
Afghanistan,06-05-2020,82.819,2.44
Afghanistan,07-05-2020,87.134,2.672
Afghanistan,08-05-2020,91.527,2.723
Afghanistan,09-05-2020,97.05,2.8
Afghanistan,10-05-2020,103.601,2.954
Afghanistan,11-05-2020,113.08,3.083
Afghanistan,12-05-2020,120.401,3.134
Afghanistan,13-05-2020,127.593,3.262
Afghanistan,14-05-2020,134.247,3.339
Afghanistan,15-05-2020,137.149,3.494
Afghanistan,16-05-2020,164.456,4.316
Afghanistan,17-05-2020,164.456,4.316
Afghanistan,18-05-2020,171.186,4.341
Afghanistan,19-05-2020,181.667,4.444
Afghanistan,20-05-2020,196.592,4.573
Afghanistan,21-05-2020,209.231,4.804
Afghanistan,22-05-2020,222.871,4.958
Afghanistan,23-05-2020,236.743,5.266
Afghanistan,24-05-2020,256.831,5.549
Afghanistan,25-05-2020,271.833,5.6
Afghanistan,26-05-2020,287.015,5.626
Afghanistan,27-05-2020,303.917,5.651
Afghanistan,28-05-2020,319.973,5.831
Afghanistan,29-05-2020,334.872,6.037
Afghanistan,30-05-2020,350.875,6.319
Afghanistan,31-05-2020,373.121,6.396
Afghanistan,01-06-2020,390.589,6.602
Afghanistan,02-06-2020,404.59,6.807
Afghanistan,03-06-2020,424.087,6.936
Afghanistan,04-06-2020,443.559,7.552
Afghanistan,05-06-2020,463.775,7.706
Afghanistan,06-06-2020,487.28,7.938
Afghanistan,07-06-2020,502.23,8.4
Afghanistan,08-06-2020,522.55,9.171
Afghanistan,09-06-2020,537.321,9.479
